city_name,Population
Houston,2299269
Hayden,14693
Gunnison,7075
Wichita,398024
Austin,965827
Baltimore,583157
Dover,115352
Detroit,638300
Los Angeles,3895848
Melbourne,4170000
Anchorage,290893
El Paso,679255
Albuquerque,564888
Lincoln,291633
Aniak,
St. Mary's,
Fort Lauderdale,182892
Manistee,9422
Miami,442827
Cincinnati,309601
Dallas,5733259
Seattle,740565
Hartford,119798
Roche Harbor,
New York,8740292
Kenmore,15217
Nashville,1076645
Smyrna,56685
Toksook,
Long Beach,465585
Burbank,104834
Nunapitchuk,
Bethel,19526
Teterboro,
Chicago,2743329
White Plains,59047
Orlando,307834
Kasigluk,
Washington,670839
Newtok,
Everett,110893
Oakland,440943
Akiak,
San Francisco,870518
Tampa,387924
Lakeland,113888
Napakiak,
Kahului,30706
Edinburg,90280
Santa Ana,311244
Tacoma,219719
Tuluksak,
Sarasota,706245
West Palm Beach,110222
Waukegan,87729
Marshall,21672
Provincetown,
Boston,675466
New Haven,129757
Providence,190745
Lopez Island,
Sheldon Point,
Nikolai,
Friday Harbor,
Buffalo,277551
Stuart,16543
Peach Springs,
Stillwater,48550
Akiachak,
Eastsound,
Rockford,148670
Lansing,112566
San Antonio,1439257
Newark,310645
Chuathbaluk,
San Bernardino,222090
Dayton,137496
Columbus,906418
San Juan,447048
Madison,275204
Milwaukee,577207
Winston-Salem,249804
Charlotte,875752
Norfolk,237789
Eek,
San Diego,1386292
Santa Barbara,204034
Cold Bay,
Missoula,90218
Fayetteville,209170
Cape Girardeau,54588
Paducah,48629
Honolulu,347181
Daytona Beach,68055
Lihue,7064
Raleigh,1018336
Lynchburg,125004
Philadelphia,1600684
Fort Myers,79943
Indianapolis,1564699
Oklahoma City,683078
Eagle,26089
Bend,103349
Gainesville,142245
Eagle,26089
Syracuse,146726
Bradford,501700
Denver,717606
Columbia,136195
Traverse City,49806
Hooper Bay,
Guam,
Lexington,322627
Albany,597270
Owensboro,73173
Scranton,389022
Louisville,1011696
Jackson,338185
Roanoke,216177
State College,88285
Bedford,0
Martha's Vineyard,
Hillsboro,106894
South Bend,281100
Richmond,226936
Palm Springs,24892
Las Vegas,646794
Jacksonville,951880
Tupelo,45231
Knoxville,191446
Huntsville,216407
Dallas,1303212
Wilmington,115770
Hyannis,
Denton,141107
College Station,207308
Nantucket,10912
Atlanta,499896
Manchester,115508
Chino,89797
Ontario,175712
Champaign,156794
Jackson,152997
Iowa City,119091
Greer,30899
El Dorado,17365
Sanford,59317
St. Louis,300496
Appleton,222222
Rifle,11038
Lake Charles,153633
Pittsburgh,302779
St. George,113906
Tallahassee,197933
Tulsa,413651
San Jose,1009319
Minneapolis,430710
Waterloo,112060
Mobile,186621
Alexandria,159139
Phoenix,1612459
Carlsbad,114924
Greensboro,335588
Manhattan,1643734
Reno,264981
Charlottesville,102016
Springfield,169177
Columbia,136195
Van Nuys,
Lubbock,258013
Savannah,147456
Santa Rosa,177959
Bowling Green,90448
Kansas City,508220
Laredo,255489
Topeka,126437
Marana,44792
Omaha,492758
Watertown,54980
New Orleans,383241
Panama City,1281000
Harlingen,136968
Memphis,635225
Oxford,192796
Cleveland,371806
Sun Valley,21101
Plattsburgh,29006
Colorado Springs,480331
Bloomington,134892
Portland,653344
Charleston,150872
Concord,125286
Hagerstown,185704
Wilmington,115770
Grand Rapids,198707
Burlington,127374
Rochester,210862
Westfield,41700
Billings,117224
Columbus,906418
Salt Lake City,200660
Dothan,71620
Brownsville,187004
Grand Junction,136688
Harrisburg,441580
Bozeman,53949
Baton Rouge,226264
Waco,140541
Tuscaloosa,104217
Montrose,22912
Arlington,394248
Newport News,179388
Lafayette,121455
Del Rio,44424
Morristown,19037
Eugene,177428
Allentown,682899
Corpus Christi,318065
Santa Fe,489505
Little Rock,202634
Naples,2250000
Kirksville,15942
Provo,115103
Fargo,125986
Aspen,8521
Charlotte Amalie,
Aguadilla,11581
Sacramento,525528
Kotlik,
Gulkana,
Emmonak,
Quinhagak,
Port Moller,
Little Port Walter,
Iliamna,
Kotzebue,
Chevak,
Unalakleet,
